City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Shimoda,34.6667,138.95,44.1,90,100,14.67,JP,1678008783
1,Faanui,-16.4833,-151.75,81.55,79,99,11.68,PF,1678008784
2,Rikitea,-23.1203,-134.9692,79.65,75,100,14.85,PF,1678008784
3,Ushuaia,-54.8,-68.3,31.66,93,0,4.61,AR,1678008784
4,Pangnirtung,66.1451,-65.7125,31.73,81,100,12.95,CA,1678008784
5,Naze,28.3667,129.4833,58.12,57,2,8.03,JP,1678008784
6,Khatanga,71.9667,102.5,-12.48,97,100,7.14,RU,1678008784
7,Avarua,-21.2078,-159.775,82.45,89,75,18.41,CK,1678008784
8,Arraial Do Cabo,-22.9661,-42.0278,75.06,88,0,10.36,BR,1678008784
9,Cambui,-22.6122,-46.0575,66.47,95,100,1.28,BR,1678008785
10,Kaitangata,-46.2817,169.8464,47.64,78,42,2.95,NZ,1678008785
11,Kahului,20.8947,-156.47,72.84,86,0,5.75,US,1678008785
12,Trairi,-3.2778,-39.2689,76.84,92,88,7.4,BR,1678008785
13,Aklavik,68.2191,-135.0107,-25.98,98,9,6.96,CA,1678008785
14,Puerto Ayora,-0.7393,-90.3518,75.54,91,32,1.86,EC,1678008785
15,Khorixas,-20.3667,14.9667,83.34,14,0,5.7,NA,1678008785
16,Hithadhoo,-0.6,73.0833,82.6,72,13,6.98,MV,1678008786
17,Saint George,37.1041,-113.5841,48.25,52,0,13.8,US,1678008786
18,Kisangani,0.5167,25.2,98.37,33,100,3.02,CD,1678008786
19,Mataura,-46.1927,168.8643,51.48,91,7,3.49,NZ,1678008786
20,Busselton,-33.65,115.3333,69.13,56,0,17.4,AU,1678008786
21,Mitsamiouli,-11.3847,43.2844,84.11,74,96,14.7,KM,1678008786
22,Los Llanos De Aridane,28.6585,-17.9182,64.15,74,20,5.01,ES,1678008786
23,Lumsden,50.6501,-104.8678,16.75,100,87,5.08,CA,1678008787
24,Vestmanna,62.1564,-7.1664,32.92,93,100,0.0,FO,1678008787
25,Albany,42.6001,-73.9662,32.67,82,100,4.56,US,1678008787
26,Half Moon Bay,37.4636,-122.4286,49.87,81,100,20.71,US,1678008787
27,San Cristobal,7.7669,-72.225,74.73,92,83,2.73,VE,1678008787
28,Bredasdorp,-34.5322,20.0403,66.38,87,100,11.23,ZA,1678008787
29,Pevek,69.7008,170.3133,-32.53,100,43,3.44,RU,1678008646
30,Qaanaaq,77.484,-69.3632,16.88,53,96,9.6,GL,1678008788
31,Ribeira Grande,38.5167,-28.7,57.78,72,40,24.16,PT,1678008788
32,Cartagena,10.3997,-75.5144,78.42,83,75,3.44,CO,1678008788
33,Hami,42.8,93.45,58.05,19,2,5.32,CN,1678008788
34,Ponta Do Sol,32.6667,-17.1,71.01,80,79,3.65,PT,1678008788
35,Vao,-22.6667,167.4833,76.41,68,81,15.99,NC,1678008788
36,Upernavik,72.7868,-56.1549,22.78,84,100,20.04,GL,1678008789
37,Hermanus,-34.4187,19.2345,68.81,84,100,11.18,ZA,1678008789
38,Sitka,57.0531,-135.33,30.09,43,20,6.91,US,1678008789
39,New Norfolk,-42.7826,147.0587,65.91,85,60,2.21,AU,1678008789
40,Hoi An,15.8794,108.335,76.96,79,9,9.64,VN,1678008789
41,Nikolskoye,59.7035,30.7861,31.89,88,97,0.87,RU,1678008789
42,Georgetown,5.4112,100.3354,93.15,43,20,12.66,MY,1678008790
43,Kismayo,-0.3582,42.5454,85.39,63,59,16.35,SO,1678008790
44,Shu,43.5983,73.7614,62.55,43,98,6.08,KZ,1678008790
45,Kununurra,-15.7667,128.7333,93.18,55,95,8.05,AU,1678008790
46,Lavrentiya,65.5833,-171.0,27.84,96,100,23.78,RU,1678008790
47,Canutama,-6.5339,-64.3831,74.07,98,100,2.37,BR,1678008790
48,Iquitos,-3.7481,-73.2472,73.44,94,100,3.44,PE,1678008790
49,Yellowknife,62.456,-114.3525,-17.45,76,20,10.36,CA,1678008791
50,Hofn,64.2539,-15.2082,34.7,64,100,17.72,IS,1678008791
51,Borovoy,55.4333,86.0833,24.08,68,0,8.95,RU,1678008791
52,Chumikan,54.7183,135.315,24.76,97,97,5.44,RU,1678008791
53,Punta Arenas,-53.15,-70.9167,37.51,93,75,1.14,CL,1678008791
54,Chokurdakh,70.6333,147.9167,-42.27,100,18,4.43,RU,1678008791
55,Camopi,3.1655,-52.3158,70.74,100,100,1.5,GF,1678008791
56,Shingu,33.7333,135.9833,47.82,76,54,3.85,JP,1678008792
57,Carnarvon,-24.8667,113.6333,81.16,65,0,26.46,AU,1678008792
58,Havre-Saint-Pierre,50.2334,-63.5986,17.6,61,0,14.97,CA,1678008792
59,Mapimi,25.8167,-103.85,53.58,19,0,2.33,MX,1678008792
60,Kapaa,22.0752,-159.319,70.11,92,23,7.78,US,1678008792
61,Martapura,-3.4167,114.85,84.29,70,40,6.91,ID,1678008792
62,Cherskiy,68.75,161.3,-25.37,100,97,2.84,RU,1678008792
63,Tasiilaq,65.6145,-37.6368,26.76,91,74,12.24,GL,1678008793
64,Saint-Philippe,-21.3585,55.7679,83.79,89,100,8.3,RE,1678008793
65,Batagay-Alyta,67.8006,130.4114,-13.13,98,100,3.8,RU,1678008793
66,Cidreira,-30.1811,-50.2056,72.39,92,99,10.92,BR,1678008793
67,Tura,25.5198,90.2201,87.96,25,2,8.01,IN,1678008793
68,Vaini,-21.2,-175.2,78.96,94,75,20.71,TO,1678008793
69,Pueblo,38.2545,-104.6091,30.96,69,0,12.66,US,1678008794
70,Pacifica,37.6138,-122.4869,49.68,82,100,24.0,US,1678008794
71,La Ronge,55.1001,-105.2842,-10.95,77,40,8.05,CA,1678008794
72,Izhma,65.0083,53.9113,10.58,87,68,1.74,RU,1678008794
